"BGC_Zone","SubzVarPh","BGC_Subzone","BGC_Variant","BGC_Phase","SubzVarPh_Description","BGC_Zone_Name"
"BAFA","un","un","-","-","Undifferentiated","Boreal Altai Fescue Alpine"
"BAFA","unp","unp","-","-","Undifferentiated and Parkland","Boreal Altai Fescue Alpine"
"BG","xh1","xh","1","-","Okanagan Very Dry Hot","Bunchgrass"
"BG","xh2","xh","2","-","Thompson Very Dry Hot","Bunchgrass"
"BG","xh3","xh","3","-","Fraser Very Dry Hot","Bunchgrass"
"BG","xw1","xw","1","-","Nicola Very Dry Warm","Bunchgrass"
"BG","xw2","xw","2","-","Alkali Very Dry Warm","Bunchgrass"
"BWBS","dk1","dk","1","-","Stikine Dry Cool","Boreal White and Black Spruce"
"BWBS","dk2","dk","2","-","Liard Dry Cool","Boreal White and Black Spruce"
"BWBS","mw1","mw","1","-","Peace Moist Warm","Boreal White and Black Spruce"
"BWBS","mw2","mw","2","-","Fort Nelson Moist Warm","Boreal White and Black Spruce"
"BWBS","un","un","-","-","Undifferentiated","Boreal White and Black Spruce"
"BWBS","vk","vk","-","-","Very Wet Cool","Boreal White and Black Spruce"
"BWBS","wk1","wk","1","-","Murray Wet Cool","Boreal White and Black Spruce"
"BWBS","wk2","wk","2","-","Graham Wet Cool","Boreal White and Black Spruce"
"BWBS","wk3","wk","3","-","Kledo Wet Cool","Boreal White and Black Spruce"
"CDF","mm","mm","-","-","Moist Maritime","Coastal Douglas-fir"
"CMA","un","un","-","-","Undifferentiated","Coastal Mountain-heather Alpine"
"CMA","unp","unp","-","-","Undifferentiated and Parkland","Coastal Mountain-heather Alpine"
"CWH","dm","dm","-","-","Dry Maritime","Coastal Western Hemlock"
"CWH","ds1","ds","1","-","Southern Dry Submaritime","Coastal Western Hemlock"
"CWH","ds2","ds","2","-","Central Dry Submaritime","Coastal Western Hemlock"
"CWH","mm1","mm","1","-","Submontane Moist Maritime","Coastal Western Hemlock"
"CWH","mm2","mm","2","-","Montane Moist Maritime","Coastal Western Hemlock"
"CWH","ms1","ms","1","-","Southern Moist Submaritime","Coastal Western Hemlock"
"CWH","ms2","ms","2","-","Central Moist Submaritime","Coastal Western Hemlock"
"CWH","un","un","-","-","Undifferentiated","Coastal Western Hemlock"
"CWH","vh1","vh","1","-","Southern Very Wet Hypermaritime","Coastal Western Hemlock"
"CWH","vh2","vh","2","-","Central Very Wet Hypermaritime","Coastal Western Hemlock"
"CWH","vm","vm","-","-","Very Wet Maritime","Coastal Western Hemlock"
"CWH","vm1","vm","1","-","Submontane Very Wet Maritime","Coastal Western Hemlock"
"CWH","vm2","vm","2","-","Montane Very Wet Maritime","Coastal Western Hemlock"
"CWH","vm3","vm","3","-","Central Very Wet Maritime","Coastal Western Hemlock"
"CWH","wh1","wh","1","-","Submontane Wet Hypermaritime","Coastal Western Hemlock"
"CWH","wh2","wh","2","-","Montane Wet Hypermaritime","Coastal Western Hemlock"
"CWH","wm","wm","-","-","Wet Maritime","Coastal Western Hemlock"
"CWH","ws1","ws","1","-","Submontane Wet Submaritime","Coastal Western Hemlock"
"CWH","ws2","ws","2","-","Montane Wet Submaritime","Coastal Western Hemlock"
"CWH","xm1","xm","1","-","Eastern Very Dry Maritime","Coastal Western Hemlock"
"CWH","xm2","xm","2","-","Western Very Dry Maritime","Coastal Western Hemlock"
"ESSF","dc1","dc","1","-","Okanagan Dry Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","dc2","dc","2","-","South Thompson Dry Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","dc3","dc","3","-","North Thompson Dry Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","dcp","dcp","-","-","Dry Cold Parkland","Engelmann Spruce -- Subalpine Fir"
"ESSF","dcw","dcw","-","-","Dry Cold Woodland","Engelmann Spruce -- Subalpine Fir"
"ESSF","dk1","dk","1","-","Kootenay Dry Cool","Engelmann Spruce -- Subalpine Fir"
"ESSF","dk2","dk","2","-","Spillimacheen Dry Cool","Engelmann Spruce -- Subalpine Fir"
"ESSF","dkp","dkp","-","-","Dry Cool Parkland","Engelmann Spruce -- Subalpine Fir"
"ESSF","dku","dku","-","-","Dry Cool Woodland and Parkland","Engelmann Spruce -- Subalpine Fir"
"ESSF","dkw","dkw","-","-","Dry Cool Woodland","Engelmann Spruce -- Subalpine Fir"
"ESSF","dm","dm","-","-","Dry Mild","Engelmann Spruce -- Subalpine Fir"
"ESSF","dmp","dmp","-","-","Dry Mild Parkland","Engelmann Spruce -- Subalpine Fir"
"ESSF","dmw","dmw","-","-","Dry Mild Woodland","Engelmann Spruce -- Subalpine Fir"
"ESSF","dv","dv","-","-","Dry Very Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","dv d","dv","-","d","Dry Very Cold - Dry phase","Engelmann Spruce -- Subalpine Fir"
"ESSF","dvp","dvp","-","-","Dry Very Cold Parkland","Engelmann Spruce -- Subalpine Fir"
"ESSF","dvw","dvw","-","-","Dry Very Cold Woodland","Engelmann Spruce -- Subalpine Fir"
"ESSF","mc","mc","-","-","Moist Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","mcp","mcp","-","-","Moist Cold Parkland","Engelmann Spruce -- Subalpine Fir"
"ESSF","mk","mk","-","-","Moist Cool","Engelmann Spruce -- Subalpine Fir"
"ESSF","mkp","mkp","-","-","Moist Cool Parkland","Engelmann Spruce -- Subalpine Fir"
"ESSF","mm1","mm","1","-","Raush Moist Mild","Engelmann Spruce -- Subalpine Fir"
"ESSF","mm2","mm","2","-","Robson Moist Mild","Engelmann Spruce -- Subalpine Fir"
"ESSF","mmp","mmp","-","-","Moist Mild Parkland","Engelmann Spruce -- Subalpine Fir"
"ESSF","mmw","mmw","-","-","Moist Mild Woodland","Engelmann Spruce -- Subalpine Fir"
"ESSF","mv1","mv","1","-","Nechako Moist Very Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","mv2","mv","2","-","Bullmoose Moist Very Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","mv3","mv","3","-","Omineca Moist Very Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","mv4","mv","4","-","Graham Moist Very Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","mvp","mvp","-","-","Moist Very Cold Parkland","Engelmann Spruce -- Subalpine Fir"
"ESSF","mw","mw","-","-","Moist Warm","Engelmann Spruce -- Subalpine Fir"
"ESSF","mw1","mw","1","-","Cascade Moist Warm","Engelmann Spruce -- Subalpine Fir"
"ESSF","mw2","mw","2","-","Stein Moist Warm","Engelmann Spruce -- Subalpine Fir"
"ESSF","mwp","mwp","-","-","Moist Warm Parkland","Engelmann Spruce -- Subalpine Fir"
"ESSF","mww","mww","-","-","Moist Warm Woodland","Engelmann Spruce -- Subalpine Fir"
"ESSF","vc","vc","-","-","Very Wet Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","vcp","vcp","-","-","Very Wet Cold Parkland","Engelmann Spruce -- Subalpine Fir"
"ESSF","vcw","vcw","-","-","Very Wet Cold Woodland","Engelmann Spruce -- Subalpine Fir"
"ESSF","vv","vv","-","-","Very Wet Very Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","vvp","vvp","-","-","Very Wet Very Cold Parkland","Engelmann Spruce -- Subalpine Fir"
"ESSF","wc1","wc","1","-","Columbia Wet Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","wc2","wc","2","-","Northern Monashee Wet Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","wc2w","wc","2","w","Northern Monashee Wet Cold - Warm phase","Engelmann Spruce -- Subalpine Fir"
"ESSF","wc3","wc","3","-","Cariboo Wet Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","wc4","wc","4","-","Selkirk Wet Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","wc5","wc","5","-","Salmo Wet Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","wc6","wc","6","-","Ymir Wet Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","wcp","wcp","-","-","Wet Cold Parkland","Engelmann Spruce -- Subalpine Fir"
"ESSF","wcw","wcw","-","-","Wet Cold Woodland","Engelmann Spruce -- Subalpine Fir"
"ESSF","wk1","wk","1","-","Cariboo Wet Cool","Engelmann Spruce -- Subalpine Fir"
"ESSF","wk2","wk","2","-","Misinchinka Wet Cool","Engelmann Spruce -- Subalpine Fir"
"ESSF","wkp","wkp","-","-","Wet Cool Parkland","Engelmann Spruce -- Subalpine Fir"
"ESSF","wm","wm","-","-","Wet Mild","Engelmann Spruce -- Subalpine Fir"
"ESSF","wmp","wmp","-","-","Wet Mild Parkland","Engelmann Spruce -- Subalpine Fir"
"ESSF","wmu","wmu","-","-","Wet Mild Woodland and Parkland","Engelmann Spruce -- Subalpine Fir"
"ESSF","wmw","wmw","-","-","Wet Mild Woodland","Engelmann Spruce -- Subalpine Fir"
"ESSF","wv","wv","-","-","Wet Very Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","wvp","wvp","-","-","Wet Very Cold Parkland","Engelmann Spruce -- Subalpine Fir"
"ESSF","xc","xc","-","-","Very Dry Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","xc1","xc","1","-","Okanagan Very Dry Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","xc2","xc","2","-","Thompson Very Dry Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","xc3","xc","3","-","Pavillion Very Dry Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","xcp","xcp","-","-","Very Dry Cold Parkland","Engelmann Spruce -- Subalpine Fir"
"ESSF","xcw","xcw","-","-","Very Dry Cold Woodland","Engelmann Spruce -- Subalpine Fir"
"ESSF","xv1","xv","1","-","West Chilcotin Very Dry Very Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","xv2","xv","2","-","Big Creek Very Dry Very Cold","Engelmann Spruce -- Subalpine Fir"
"ESSF","xvp","xvp","-","-","Very Dry Very Cold Parkland","Engelmann Spruce -- Subalpine Fir"
"ESSF","xvw","xvw","-","-","Very Dry Very Cold Woodland","Engelmann Spruce -- Subalpine Fir"
"ICH","dk","dk","-","-","Dry Cool","Interior Cedar -- Hemlock"
"ICH","dm","dm","-","-","Dry Mild","Interior Cedar -- Hemlock"
"ICH","dw1","dw","1","-","West Kootenay Dry Warm","Interior Cedar -- Hemlock"
"ICH","dw2","dw","2","-","Boundary Dry Warm","Interior Cedar -- Hemlock"
"ICH","dw3","dw","3","-","North Thompson Dry Warm","Interior Cedar -- Hemlock"
"ICH","mc1","mc","1","-","Nass Moist Cold","Interior Cedar -- Hemlock"
"ICH","mc1a","mc","1","a","Nass Moist Cold - Amabilis fir phase","Interior Cedar -- Hemlock"
"ICH","mc2","mc","2","-","Hazelton Moist Cold","Interior Cedar -- Hemlock"
"ICH","mk1","mk","1","-","Kootenay Moist Cool","Interior Cedar -- Hemlock"
"ICH","mk2","mk","2","-","Thompson Moist Cool","Interior Cedar -- Hemlock"
"ICH","mk3","mk","3","-","Horsefly Moist Cool","Interior Cedar -- Hemlock"
"ICH","mm","mm","-","-","Moist Mild","Interior Cedar -- Hemlock"
"ICH","mw1","mw","1","-","Golden Moist Warm","Interior Cedar -- Hemlock"
"ICH","mw2","mw","2","-","Shuswap Moist Warm","Interior Cedar -- Hemlock"
"ICH","mw3","mw","3","-","Thompson Moist Warm","Interior Cedar -- Hemlock"
"ICH","mw4","mw","4","-","Ymir Moist Warm","Interior Cedar -- Hemlock"
"ICH","vc","vc","-","-","Very Wet Cold","Interior Cedar -- Hemlock"
"ICH","vk1","vk","1","-","Mica Very Wet Cool","Interior Cedar -- Hemlock"
"ICH","vk1c","vk","1","c","Mica Very Wet Cool - Cold Air phase","Interior Cedar -- Hemlock"
"ICH","vk2","vk","2","-","Slim Very Wet Cool","Interior Cedar -- Hemlock"
"ICH","wc","wc","-","-","Wet Cold","Interior Cedar -- Hemlock"
"ICH","wk1","wk","1","-","Wells Gray Wet Cool","Interior Cedar -- Hemlock"
"ICH","wk1c","wk","1","c","Wells Gray Wet Cool - Cold Air phase","Interior Cedar -- Hemlock"
"ICH","wk2","wk","2","-","Quesnel Wet Cool","Interior Cedar -- Hemlock"
"ICH","wk3","wk","3","-","Goat Wet Cool","Interior Cedar -- Hemlock"
"ICH","wk4","wk","4","-","Cariboo Wet Cool","Interior Cedar -- Hemlock"
"ICH","xw","xw","-","-","Very Dry Warm","Interior Cedar -- Hemlock"
"IDF","dc","dc","-","-","Dry Cold","Interior Douglas-fir"
"IDF","dk1","dk","1","-","Thompson Dry Cool","Interior Douglas-fir"
"IDF","dk1a","dk","1","a","Thompson Dry Cool - Grassland phase","Interior Douglas-fir"
"IDF","dk1b","dk","1","b","Thompson Dry Cool - Steep South phase","Interior Douglas-fir"
"IDF","dk2","dk","2","-","Cascade Dry Cool","Interior Douglas-fir"
"IDF","dk2a","dk","2","a","Cascade Dry Cool - Grassland phase","Interior Douglas-fir"
"IDF","dk2b","dk","2","b","Cascade Dry Cool - Steep South phase","Interior Douglas-fir"
"IDF","dk3","dk","3","-","Fraser Dry Cool","Interior Douglas-fir"
"IDF","dk4","dk","4","-","Chilcotin Dry Cool","Interior Douglas-fir"
"IDF","dm1","dm","1","-","Kettle Dry Mild","Interior Douglas-fir"
"IDF","dm2","dm","2","-","Kootenay Dry Mild","Interior Douglas-fir"
"IDF","dm2a","dm","2","a","Kootenay Dry Mild - Moist phase","Interior Douglas-fir"
"IDF","dm2n","dm","2","n","Kootenay Dry Mild - Northern phase","Interior Douglas-fir"
"IDF","dw","dw","-","-","Dry Warm","Interior Douglas-fir"
"IDF","mw1","mw","1","-","Shuswap Moist Warm","Interior Douglas-fir"
"IDF","mw2","mw","2","-","Thompson Moist Warm","Interior Douglas-fir"
"IDF","mw2b","mw","2","b","Thompson Moist Warm - Steep South phase","Interior Douglas-fir"
"IDF","un","un","-","-","Undifferentiated","Interior Douglas-fir"
"IDF","ww","ww","-","-","Wet Warm","Interior Douglas-fir"
"IDF","ww1","ww","1","-","Stein Wet Warm","Interior Douglas-fir"
"IDF","xc","xc","-","-","Very Dry Cold","Interior Douglas-fir"
"IDF","xh1","xh","1","-","Okanagan Very Dry Hot","Interior Douglas-fir"
"IDF","xh1a","xh","1","a","Okanagan Very Dry Hot - Grassland phase","Interior Douglas-fir"
"IDF","xh2","xh","2","-","Thompson Very Dry Hot","Interior Douglas-fir"
"IDF","xh2a","xh","2","a","Thompson Very Dry Hot - Grassland phase","Interior Douglas-fir"
"IDF","xh4","xh","4","-","Boundary Very Dry Hot","Interior Douglas-fir"
"IDF","xk","xk","-","-","Very Dry Cool","Interior Douglas-fir"
"IDF","xm","xm","-","-","Very Dry Mild","Interior Douglas-fir"
"IDF","xw","xw","-","-","Very Dry Warm","Interior Douglas-fir"
"IMA","un","un","-","-","Undifferentiated","Interior Mountain-heather Alpine"
"IMA","unp","unp","-","-","Undifferentiated and Parkland","Interior Mountain-heather Alpine"
"MH","mm1","mm","1","-","Windward Moist Maritime","Mountain Hemlock"
"MH","mm2","mm","2","-","Leeward Moist Maritime","Mountain Hemlock"
"MH","mmp","mmp","-","-","Moist Maritime Parkland","Mountain Hemlock"
"MH","un","un","-","-","Undifferentiated","Mountain Hemlock"
"MH","wh1","wh","1","-","Windward Wet Hypermaritime","Mountain Hemlock"
"MH","wh2","wh","2","-","Leeward Wet Hypermaritime","Mountain Hemlock"
"MH","whp","whp","-","-","Wet Hypermaritime Parkland","Mountain Hemlock"
"MS","dc1","dc","1","-","Bridge Dry Cold","Montane Spruce"
"MS","dc1d","dc","1","d","Bridge Dry Cold - Dry phase","Montane Spruce"
"MS","dc2","dc","2","-","Tatlayoko Dry Cold","Montane Spruce"
"MS","dk","dk","-","-","Dry Cool","Montane Spruce"
"MS","dm1","dm","1","-","Okanagan Dry Mild","Montane Spruce"
"MS","dm1a","dm","1","a","Okanagan Dry Mild - Redcedar phase","Montane Spruce"
"MS","dm2","dm","2","-","South Thompson Dry Mild","Montane Spruce"
"MS","dm3","dm","3","-","North Thompson Dry Mild","Montane Spruce"
"MS","dm3w","dm","3","w","North Thompson Dry Mild - Warm phase","Montane Spruce"
"MS","dv","dv","-","-","Dry Very Cold","Montane Spruce"
"MS","mw1","mw","1","-","Cascade Moist Warm","Montane Spruce"
"MS","mw2","mw","2","-","Stein Moist Warm","Montane Spruce"
"MS","un","un","-","-","Undifferentiated","Montane Spruce"
"MS","xk","xk","-","-","Very Dry Cool","Montane Spruce"
"MS","xk1","xk","1","-","Similkameen Very Dry Cool","Montane Spruce"
"MS","xk2","xk","2","-","South Thompson Very Dry Cool","Montane Spruce"
"MS","xk3","xk","3","-","Pavillion Very Dry Cool","Montane Spruce"
"MS","xv","xv","-","-","Very Dry Very Cold","Montane Spruce"
"PP","dh1","dh","1","-","Kettle Dry Hot","Ponderosa Pine"
"PP","dh2","dh","2","-","Kootenay Dry Hot","Ponderosa Pine"
"PP","xh1","xh","1","-","Okanagan Very Dry Hot","Ponderosa Pine"
"PP","xh1a","xh","1","a","Okanagan Very Dry Hot - Grassland phase","Ponderosa Pine"
"PP","xh2","xh","2","-","Thompson Very Dry Hot","Ponderosa Pine"
"PP","xh2a","xh","2","a","Thompson Very Dry Hot - Grassland phase","Ponderosa Pine"
"SBPS","dc","dc","-","-","Dry Cold","Sub-Boreal Pine -- Spruce"
"SBPS","mc","mc","-","-","Moist Cold","Sub-Boreal Pine -- Spruce"
"SBPS","mk","mk","-","-","Moist Cool","Sub-Boreal Pine -- Spruce"
"SBPS","xc","xc","-","-","Very Dry Cold","Sub-Boreal Pine -- Spruce"
"SBS","dh1","dh","1","-","McLennan Dry Hot","Sub-Boreal Spruce"
"SBS","dh2","dh","2","-","Robson Dry Hot","Sub-Boreal Spruce"
"SBS","dk","dk","-","-","Dry Cool","Sub-Boreal Spruce"
"SBS","dw1","dw","1","-","Horsefly Dry Warm","Sub-Boreal Spruce"
"SBS","dw2","dw","2","-","Blackwater Dry Warm","Sub-Boreal Spruce"
"SBS","dw3","dw","3","-","Stuart Dry Warm","Sub-Boreal Spruce"
"SBS","mc1","mc","1","-","Moffat Moist Cold","Sub-Boreal Spruce"
"SBS","mc2","mc","2","-","Babine Moist Cold","Sub-Boreal Spruce"
"SBS","mc3","mc","3","-","Kluskus Moist Cold","Sub-Boreal Spruce"
"SBS","mh","mh","-","-","Moist Hot","Sub-Boreal Spruce"
"SBS","mk1","mk","1","-","Mossvale Moist Cool","Sub-Boreal Spruce"
"SBS","mk2","mk","2","-","Williston Moist Cool","Sub-Boreal Spruce"
"SBS","mm","mm","-","-","Moist Mild","Sub-Boreal Spruce"
"SBS","mw","mw","-","-","Moist Warm","Sub-Boreal Spruce"
"SBS","un","un","-","-","Undifferentiated","Sub-Boreal Spruce"
"SBS","vk","vk","-","-","Very Wet Cool","Sub-Boreal Spruce"
"SBS","wk1","wk","1","-","Willow Wet Cool","Sub-Boreal Spruce"
"SBS","wk2","wk","2","-","Finlay-Peace Wet Cool","Sub-Boreal Spruce"
"SBS","wk3","wk","3","-","Takla Wet Cool","Sub-Boreal Spruce"
"SBS","wk3a","wk","3","a","Takla Wet Cool - Douglas-fir phase","Sub-Boreal Spruce"
"SWB","dk","dk","-","-","Dry Cool","Spruce -- Willow -- Birch"
"SWB","dks","dks","-","-","Dry Cool Scrub","Spruce -- Willow -- Birch"
"SWB","mk","mk","-","-","Moist Cool","Spruce -- Willow -- Birch"
"SWB","mks","mks","-","-","Moist Cool Scrub","Spruce -- Willow -- Birch"
"SWB","un","un","-","-","Undifferentiated","Spruce -- Willow -- Birch"
"SWB","vk","vk","-","-","Very Wet Cool","Spruce -- Willow -- Birch"
"SWB","vks","vks","-","-","Very Wet Cool Scrub","Spruce -- Willow -- Birch"
